Category,Biased_Word_or_Phrase,Suggested_Alternative
Race,must be American,must be authorized to work in the country
Race,must be American,must be authorized to work in the country
Gender,he will lead the team,they will lead the team
Age,recent graduate,entry-level position
Gender,female touch,attention to detail
Race,native English speaker,fluent in English
Race,Indian accent,clear communication skills
Gender,salesman,salesperson
Race,native English speaker,fluent in English
Age,recent graduate,entry-level position
Age,young and energetic,highly motivated
Gender,manpower,workforce
Race,African American preferred,diverse backgrounds encouraged
Age,recent graduate,entry-level position
Age,millennial mindset,team-oriented
Gender,female touch,attention to detail
Gender,manpower,workforce
Age,age below 30,all ages welcome
Age,recent graduate,entry-level position
Gender,female touch,attention to detail
Gender,manpower,workforce
Age,recent graduate,entry-level position
Age,age below 30,all ages welcome
Gender,salesman,salesperson
Race,strong Asian background,relevant cultural knowledge
Race,native English speaker,fluent in English
Race,native English speaker,fluent in English
Race,Indian accent,clear communication skills
Age,recent graduate,entry-level position
Race,must be American,must be authorized to work in the country
Race,must be American,must be authorized to work in the country
Gender,salesman,salesperson
Gender,female touch,attention to detail
Race,must be American,must be authorized to work in the country
Gender,salesman,salesperson
Age,recent graduate,entry-level position
Age,digital native,proficient with technology
Age,age below 30,all ages welcome
Gender,he will lead the team,they will lead the team
Gender,guys in the team,team members
Gender,female touch,attention to detail
Age,age below 30,all ages welcome
Race,native English speaker,fluent in English
Age,age below 30,all ages welcome
Race,must be American,must be authorized to work in the country
Race,Indian accent,clear communication skills
Age,young and energetic,highly motivated
Age,age below 30,all ages welcome
Age,millennial mindset,team-oriented
Race,must be American,must be authorized to work in the country
Age,young and energetic,highly motivated
Age,digital native,proficient with technology
Race,Indian accent,clear communication skills
Race,strong Asian background,relevant cultural knowledge
Age,age below 30,all ages welcome
Age,age below 30,all ages welcome
Age,young and energetic,highly motivated
Race,Indian accent,clear communication skills
Race,must be American,must be authorized to work in the country
Age,millennial mindset,team-oriented
Gender,guys in the team,team members
Race,must be American,must be authorized to work in the country
Age,age below 30,all ages welcome
Race,native English speaker,fluent in English
Race,Indian accent,clear communication skills
Age,recent graduate,entry-level position
Race,African American preferred,diverse backgrounds encouraged
Gender,guys in the team,team members
Race,must be American,must be authorized to work in the country
Gender,manpower,workforce
Race,strong Asian background,relevant cultural knowledge
Gender,guys in the team,team members
Age,millennial mindset,team-oriented
Age,millennial mindset,team-oriented
Gender,female touch,attention to detail
Race,Indian accent,clear communication skills
Gender,he will lead the team,they will lead the team
Gender,he will lead the team,they will lead the team
Race,Indian accent,clear communication skills
Race,Indian accent,clear communication skills
Gender,female touch,attention to detail
